m/z	retention_time	p_value	t_score
347.061	165.142	0.08464371661055758	-2.0699092676123296
384.12	368.227	0.13322193818827135	-2.0435783796765676
89.0478	241.494	0.3051645516630864	-1.146774767196369
146.109	195.207	0.3069360916812047	1.1200779531032332
146.1061	474.105	0.6152824785944842	-0.5587899479289872
323.0498	169.774	0.28623116860504894	-1.1912265057377982
176.0328	321.379	0.00014685516864551898	-12.729941814074456
204.0903	450.091	0.031448469002643045	-3.1384161830357904
116.0103	307.707	0.13165120711643635	-2.053255418950285
116.0103	408.121	0.0006914292045693316	-10.65421104097238
116.0103	257.207	0.11730258614513787	-2.1740024494896892
612.1487	302.036	0.0012519518380826853	-11.106764068009129
642.3001	458.493	0.012676876277281443	-5.346401563087871
88.0988	529.936	0.053297883860371084	-2.9772425212918865
135.0537	349.073	0.001008122820869978	-11.070417164653454
132.0531	184.874	0.9720601567113193	-0.03650993225048657
192.0272	215.905	0.04528921998802759	-2.9534220645259177
117.0786	325.426	0.021345695658495308	-3.879974152750496
89.0478	318.458	0.2749481295608068	1.2617580905955592
125.0146	169.461	0.004225939453928548	-4.990113358783344
119.0575	180.793	0.03995460587965058	-2.8652263196248478
192.0265	391.225	0.13563483695368056	-1.89079004754679
103.063	276.854	0.002029851673027596	-6.301005050812327
259.0459	147.818	0.04301277769919226	-3.135861696837561
104.0091	446.952	0.948681593311981	0.06765453384812971
152.0335	291.841	0.019997898608661843	4.02007002332538
131.0945	302.364	0.3126546693349083	-1.1025472961963032
131.0945	258.726	0.9708126646344599	-0.03871068036360552
129.079	400.318	0.10452342400722439	2.2773681258215834
129.0792	381.087	0.9838027614907627	0.02165062663733709
176.0425	375.97	0.012306523836448993	5.320932111740796
174.0531	229.259	0.29066872936203025	1.2659140793246297
87.0685	346.276	0.0491324162398687	-3.0818598286496566
251.1003	325.794	0.1186924949053492	-1.8888720510979105
137.0459	438.001	0.30960994705175204	-1.1187153486793087
153.0099	167.307	0.46989861782401354	0.7979667169225156
189.0634	413.443	0.003074679910966532	-6.226051808683301
154.0275	603.763	0.34209342695768424	1.0614797049969986
