m/z	retention_time	p_value	t_score
118.0266	243.828	0.23098987556000278	1.4122082554718944
118.0266	276.2	0.24676622496562006	1.357404024271674
118.0266	453.3	0.9802021957893927	0.026687823815134484
119.0582	207.274	0.003328292335124466	-7.079565279417484
119.0582	207.274	0.019668750770625177	-6.135359541192254
119.0582	207.274	0.0008510926070345931	-9.274678301101835
119.0582	207.274	0.6700357783725175	-0.48999342983036326
119.0582	238.3	0.4376683609568781	-0.9229547385699384
119.0582	238.3	0.02564697368681153	-4.2783257832900565
119.0582	238.3	0.04083169900433939	-3.311108646369268
119.0582	238.3	0.5750465199659812	0.6411653261850023
119.0582	250.8	0.08247450994643363	-2.39455278414049
119.0582	250.8	0.032928669689569465	-4.824275987825706
119.0582	250.8	0.005409302066970215	-5.633802544361958
119.0582	250.8	0.654739772461832	0.5158057993427446
119.0582	271.7	0.026548444888544007	-4.506014538636575
119.0582	271.7	0.014996734813831892	-5.767349321166144
119.0582	271.7	0.0035666107526995503	-6.798576582596377
119.0582	271.7	0.720586461904803	-0.4031140296931606
119.0582	284.1	0.00038618422333092903	-14.639555058995079
119.0582	284.1	0.018699901725678043	-7.017713571300088
119.0582	284.1	0.001943859621769711	-13.972841934285757
119.0582	284.1	0.39962400064535664	-1.0587740637625378
220.0853	497.195	0.009370740053339663	5.790599631755452
220.0853	307.526	0.08156601049853938	2.633812638951282
116.0956	285.437	0.12070041063968254	-2.6009680446672805
116.011	306.607	0.12608807369539	2.4634493845861716
116.011	484.1	0.08831095596749115	3.059682937874539
117.079	367.117	0.03349462055639117	-4.901668591400063
117.079	367.117	0.019867747155186914	-6.635849311488409
117.079	367.117	0.24774660681040833	-1.603123820178446
117.079	308.1	0.0630271850227343	2.904353713035292
117.079	308.1	0.4883060307911231	0.7697043647903717
117.079	308.1	0.045141705007017086	2.8784154032759064
117.079	353.8	0.16575356795855786	-1.8147117224124014
117.079	353.8	0.03129040773925587	-4.339344428733155
117.079	353.8	0.8890707038078611	-0.15562538782503246
117.079	232.2	0.7515049268868214	-0.34558245062347587
117.079	232.2	0.08651246516796844	-2.2969154115020474
117.079	232.2	0.7249651372573493	0.37795172919211034
129.0426	314.245	0.03641105523205385	4.881763449697551
129.0426	314.245	0.2721762911619003	1.3667554743384582
129.0426	314.245	0.734212011055284	0.3735897729480122
129.0426	314.245	0.37845885728812184	0.9953307641267579
129.0426	318.0	0.0009147194075346593	15.952593704524638
129.0426	318.0	0.19883330660827486	1.8583431930574947
129.0426	318.0	0.49136124571482986	0.8269467881744695
129.0426	318.0	0.10108468466760867	2.4612009792456337
129.0426	268.3	0.27556923584020077	1.473323963537477
129.0426	268.3	0.9169813364137721	0.11282321060113294
129.0426	268.3	0.4154321573215071	-0.9280683552891302
129.0426	268.3	0.3073499621741276	-1.1999898480116213
129.0426	330.8	0.009284426709703326	8.975133052311246
129.0426	330.8	0.16411327099103737	1.9946405773361378
129.0426	330.8	0.4018144466591706	1.010003619762328
129.0426	330.8	0.0706106902549714	2.4686228925318163
131.0949	407.601	0.7108796365496809	0.3997414737302153
175.0633	501.725	0.05196520553765973	2.80218187067051
175.0633	501.725	0.024139659711286364	6.268129947556174
129.0899	238.278	0.018135369062127694	3.8608015442419874
236.0797	332.279	0.7317299514737905	-0.3689113162865875
147.0533	330.532	0.008904611257993581	4.7625424569397845
314.2453	615.341	0.3660226831445413	1.0988815456260879
330.2403	514.1	0.15444514852444918	2.20653609910489
240.0091	296.401	0.2452671851266072	-1.4542115117017216
146.0691	194.544	0.1167516142568561	-2.5566422107582567
146.0691	194.544	0.019965187727435683	-5.595098377867853
146.0691	200.0	0.10272419724997357	-2.7870526572030454
146.0691	200.0	0.019294720811222518	-6.034208636042452
