Identification Level,External Identifier,Compound,sFED2_mean,sFED1_mean,Fold_Change,P_Value,FDR_P_Value
Tier 1,C08491,(-)-Jasmonic acid,0.7719999999999999,0.038,20.31578947368421,0.03230436574066323,0.5902615832325256
Tier 2,,Hydroxyprolyl-Hydroxyproline,1.2553333333333334,0.08966666666666666,14.000000000000002,0.03614529479298982,0.5902615832325256
Tier 2,,Dhelwangin,1.663,0.2339,7.109876015391193,0.042708783436178406,0.5902615832325256
Tier 2,,"(3S)-3,6-Diaminohexanoic acid",1.1280000000000001,0.2844333333333333,3.965779913277863,0.015145920715008612,0.5902615832325256
Tier 2,,Aminoethoxyacetic acid,2.5576666666666665,0.7060000000000001,3.62275731822474,0.02025851355224875,0.5902615832325256
Tier 2,C00931,Porphobilinogen,3.2916666666666665,1.0594999999999999,3.106811389019978,0.012024325657585407,0.5902615832325256
Tier 1,,4-Ethylguaiacol,0.7916666666666666,0.2564666666666667,3.0868208994021313,0.04557041905780416,0.5902615832325256
Tier 1,C00135,L-Histidine,0.5303333333333334,0.17300000000000001,3.065510597302505,0.01886458546487569,0.5902615832325256
Tier 1,C01205,3-Aminoisobutyric acid,0.6566666666666667,0.21566666666666667,3.044822256568779,0.0021153878375243917,0.5902615832325256
Tier 2,,"1,2-Dehydroreticuline",1.2543333333333333,0.418,3.0007974481658692,0.021537896332050367,0.5902615832325256
Tier 2,C20913,Tabtoxin biosynthesis intermediate 3,0.6913333333333332,0.23196666666666665,2.9803132633999136,0.006101600291476098,0.5902615832325256
Tier 2,C03194,Isomer 1 of (R)-1-Aminopropan-2-ol,1.6546666666666667,0.5670000000000001,2.918283362727807,0.014161850958463423,0.5902615832325256
Tier 2,C02926,L-3-Aminodihydro-2(3H)-furanone,1.6773333333333333,0.6353333333333333,2.640083945435467,0.049700388020076335,0.5902615832325256
Tier 2,,2-Methyleneglutaric acid,0.8656666666666667,0.33183333333333337,2.608739326971371,0.013215124600651044,0.5902615832325256
Tier 1,HMDB0029013,Prolyl-Aspartic acid,0.6846666666666668,0.26699999999999996,2.564294631710363,0.024467909196970353,0.5902615832325256
Tier 1,HMDB0003148,Argininic acid,1.0090000000000001,0.40293333333333337,2.5041363335539377,0.03921006549222892,0.5902615832325256
Tier 1,C02504,2-Isopropylmalic acid,0.7853333333333333,0.31733333333333336,2.474789915966386,0.02605885529362888,0.5902615832325256
Tier 2,,Glutamyl-Proline,1.1716666666666666,0.49466666666666664,2.368598382749326,0.023482770774689393,0.5902615832325256
Tier 2,C03618,L-threo-3-Methylaspartic acid,0.5606666666666666,0.23766666666666666,2.359046283309958,0.04561856055293525,0.5902615832325256
Tier 2,,"N(alpha)-Acetyl-L-2,4-diaminobutyric acid",0.37133333333333335,0.16833333333333333,2.205940594059406,0.010226274766937915,0.5902615832325256
Tier 1,C01799,Norvaline,0.778,0.35400000000000004,2.19774011299435,0.013198344465120417,0.5902615832325256
Tier 1,C00141,Valine,0.6986666666666667,0.319,2.1901776384535006,0.0033034684972633615,0.5902615832325256
Tier 1,C00263,Homoserine,2.013333333333333,0.9269999999999999,2.17188061848256,0.01628472020000144,0.5902615832325256
Tier 1,HMDB0028680,Alanyl-Alanine,0.38600000000000007,0.17966666666666667,2.148423005565863,0.009076581346301758,0.5902615832325256
Tier 2,,Cytidine 3'-monophosphate,0.5656666666666667,0.2733333333333334,2.069512195121951,0.025681274977208332,0.5902615832325256
Tier 1,C01047,L-Theanine,1.086,0.537,2.022346368715084,0.009058926136342052,0.5902615832325256
Tier 2,C01102,O-Phospho-L-homoserine,1.5830000000000002,0.7953333333333333,1.9903604358759432,0.02259229671926184,0.5902615832325256
Tier 2,,7'-Carboxy-gamma-tocotrienol,0.103,0.052,1.9807692307692308,0.040829609933802885,0.5902615832325256
Tier 2,,4-Hydroxybenzylamine,0.553,0.28400000000000003,1.9471830985915493,0.04639957706500555,0.5902615832325256
Tier 2,C05786,(3Z)-Phycocyanobilin,1.0966666666666667,0.5686666666666668,1.9284876905041028,0.008547746152593226,0.5902615832325256
Tier 1,C00020,Adenosine monophosphate,1.3693333333333335,0.7116666666666666,1.9241217798594854,0.01962779528182011,0.5902615832325256
Tier 2,,Valyl-gamma-Glutamic acid,0.13366666666666668,0.06966666666666667,1.9186602870813398,0.025857504743765216,0.5902615832325256
Tier 2,,"5,6-Epoxytetraene",0.022333333333333334,0.011666666666666667,1.9142857142857141,0.03988760596176097,0.5902615832325256
Tier 2,C12455,5-Aminopentanal,0.5673333333333334,0.3013333333333333,1.8827433628318588,0.04254129919436547,0.5902615832325256
Tier 2,,4-Hydroxypiperidine,0.5606666666666666,0.29833333333333334,1.8793296089385474,0.04307897196765195,0.5902615832325256
Tier 1,C00362,2'-Deoxyguanosine 5'-monophosphate - isomer1,1.3023333333333333,0.7036666666666668,1.8507816200852674,0.025203828097551,0.5902615832325256
Tier 1,C00049,Aspartic acid,0.6063333333333333,0.3323333333333333,1.8244734202607822,0.02082957201530005,0.5902615832325256
Tier 2,C21248,2-Aminovalienone,0.9543333333333334,0.5836666666666667,1.6350656767561393,0.00405104481450988,0.5902615832325256
Tier 1,C00099,Beta-Alanine,0.6613333333333333,0.4083333333333334,1.6195918367346938,0.011954203501031607,0.5902615832325256
Tier 2,C02728,N(6)-Methyllysine,0.8113333333333334,0.5216666666666667,1.5552715654952076,0.020410473571885922,0.5902615832325256
Tier 1,C00163,Propanoic acid,3.760666666666667,5.9976666666666665,0.6270216195187017,0.03059598357144268,0.5902615832325256
Tier 1,,Butanoic Acid/Isobutyric Acid,2.898666666666667,4.623333333333334,0.6269646719538573,0.02934481155547655,0.5902615832325256
Tier 1,C00108,Benzoic Acid,1.6543333333333334,2.6596666666666664,0.622007770397293,0.0374873843637211,0.5902615832325256
Tier 2,C02718,Iminoglycine,0.5968,1.1136666666666668,0.5358874588446573,0.04434744086938374,0.5902615832325256
Tier 2,C00051,Glutathione,0.48733333333333334,0.939,0.5189918352857651,0.048680059612774676,0.5902615832325256
Tier 2,,6-beta-Naltrexol,2.403333333333333,4.785333333333334,0.5022290331568681,0.03513205096295922,0.5902615832325256
Tier 2,C16414,2-Amino-5-hydroxyl-4-hydroxylamino-6-nitrotoluene,0.9656666666666668,2.199666666666667,0.4390059099863616,0.016586201038547833,0.5902615832325256
Tier 2,C10945,Caffeic aldehyde,0.2996666666666667,0.7126666666666667,0.42048643592142193,0.012665346274450652,0.5902615832325256
Tier 2,C11918,Maltol,0.3126666666666667,0.7443333333333332,0.42006269592476503,0.011290935313523336,0.5902615832325256
Tier 2,C01682,Nopaline,1.6142,4.062333333333333,0.3973578403216543,0.0402029183070742,0.5902615832325256
Tier 2,,2-Amino-2-deoxy-D-gluconic acid,1.6093333333333335,4.427333333333333,0.36349947297093815,0.018315463172176624,0.5902615832325256
Tier 1,HMDB0028797,Glutaminyl-glycine,0.262,0.7949999999999999,0.329559748427673,0.0353866904015168,0.5902615832325256
