"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine and threonine metabolism","33","20","5","0.749","0.0043401","0.02257","0.0010221","0","0","0.130203","0.6771","0.030663","P1","C00188;C01102;C00263;C01888;C05519"
"Arginine and proline metabolism","32","21","4","0.7263","0.0296","0.11245","0.0014506","4","0.04","0.831894","1","0.0420674","P2","C00555;C00134;C05938;C00025"
"beta-Alanine metabolism","18","12","3","0.40854","0.028686","0.14671","0.0016604","3","0.03","0.831894","1","0.0464912","P3","C05665;C00864;C00555"
"Zeatin biosynthesis","21","7","2","0.47664","0.05895","0.33981","0.0036333","1","0.01","1","1","0.0980991","P4","C00371;C16448"
"Glutathione metabolism","26","10","2","0.59012","0.11304","0.44832","0.0057626","6","0.06","1","1","0.1498276","P5","C00025;C00134"
"Porphyrin metabolism","48","10","2","1.0895","0.11304","0.44832","0.0057626","1","0.01","1","1","0.1498276","P6","C00931;C00025"
"Arginine biosynthesis","18","14","2","0.40854","0.19756","0.56644","0.0097692","10","0.1","1","1","0.2344608","P7","C00025;C01250"
"Biosynthesis of various plant secondary metabolites","29","15","2","0.65821","0.21988","0.5919","0.010998","4","0.04","1","1","0.252954","P8","C15486;C02637"
"Pantothenate and CoA biosynthesis","25","18","2","0.56742","0.28782","0.65988","0.015251","15","0.15","1","1","0.335522","P9","C00864;C05665"
"Cyanoamino acid metabolism","29","22","2","0.65821","0.37756","0.73366","0.022262","21","0.21","1","1","0.467502","P10","C00302;C03742"
"Cysteine and methionine metabolism","47","25","2","1.0668","0.4421","0.77855","0.028501","25","0.25","1","1","0.57002","P11","C00979;C00263"
"Purine metabolism","73","35","1","1.6569","0.88887","1","1","63","0.63","1","1","1","P12","C00212;C00330"
"Pyrimidine metabolism","41","18","1","0.93057","0.67116","1","1","25","0.25","1","1","1","P13","C00055;C05822"
"Alanine, aspartate and glutamate metabolism","22","18","1","0.49933","0.67116","1","1","55","0.55","1","1","1","P14","C00025"
"Valine, leucine and isoleucine biosynthesis","22","22","1","0.49933","0.74445","1","1","50","0.5","1","1","1","P15","C00188"
"Lysine biosynthesis","9","8","1","0.20427","0.38726","1","1","18","0.18","1","1","1","P16","C00263"
"Tyrosine metabolism","17","17","1","0.38585","0.64986","1","1","51","0.51","1","1","1","P17","C00483"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","1","0.49933","0.62723","1","1","39","0.39","1","1","1","P18","C02637"
"Taurine and hypotaurine metabolism","5","3","1","0.11348","0.16711","1","1","1","0.01","1","1","1","P19","C05844"
"Phosphonate and phosphinate metabolism","5","1","1","0.11348","0.059028","1","1","1","0.01","1","1","1","P20","C03557"
"Glycerophospholipid metabolism","38","11","1","0.86248","0.49101","1","1","44","0.44","1","1","1","P21","C00588"
"Linoleic acid metabolism","4","3","1","0.090788","0.16711","1","1","4","0.04","1","1","1","P22","C04717;C14827"
"alpha-Linolenic acid metabolism","26","15","1","0.59012","0.60318","1","1","29","0.29","1","1","1","P23","C21924"
"Sphingolipid metabolism","27","4","1","0.61282","0.21653","1","1","1","0.01","1","1","1","P24","C02934;C00319"
"Glyoxylate and dicarboxylate metabolism","29","15","1","0.65821","0.60318","1","1","35","0.35","1","1","1","P25","C00025"
"Butanoate metabolism","17","11","1","0.38585","0.49101","1","1","35","0.35","1","1","1","P26","C00025"
"Vitamin B6 metabolism","12","9","1","0.27236","0.42394","1","1","12","0.12","1","1","1","P27","C06055"
"Nitrogen metabolism","12","4","1","0.27236","0.21653","1","1","8","0.08","1","1","1","P28","C00025"
"Sulfur metabolism","15","6","1","0.34045","0.30698","1","1","8","0.08","1","1","1","P29","C00979"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.13618","0.30698","1","1","15","0.15","1","1","1","P30","C00483"
