"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Folate biosynthesis","31","16","8","3.2904","0.021631","0.065409","0.0062881","9","0.09","1","1","0.4087265","P1","C00251;C00568;C01300;C04874;C00504;C03684;C00835;C21008;C01304;C04244;C02953"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","7","2.3351","0.091844","0.20696","0.0096267","23","0.23","1","1","0.6161088","P2","C03506;C01302;C04302;C00251;C00254;C00493;C00944;C00108;C02637"
"Taurine and hypotaurine metabolism","5","4","3","0.53071","0.046477","0.24726","0.0109","0","0","1","1","0.6867","P3","C00606;C00245;C05844"
"Alanine, aspartate and glutamate metabolism","22","19","7","2.3351","0.15338","0.299","0.012813","15","0.15","1","1","0.794406","P4","C03406;C00041;C00064;C00025;C00940;C03912;C00352"
"Ascorbate and aldarate metabolism","20","16","6","2.1228","0.16925","0.33866","0.014532","19","0.19","1","1","0.886452","P5","C00137;C05422;C01041;C01825;C00800;C00818"
"Glyoxylate and dicarboxylate metabolism","29","16","6","3.0781","0.16925","0.33866","0.014532","8","0.08","1","1","0.886452","P6","C00417;C00311;C00158;C00258;C00025;C00064"
"Vitamin B6 metabolism","12","9","4","1.2737","0.15164","0.37561","0.016367","8","0.08","1","1","0.965653","P7","C00064;C06055;C00627;C06056"
"Selenocompound metabolism","13","2","2","1.3798","0.058825","0.4251","0.019247","7","0.07","1","1","1","P8","C00041;C05690"
"Monobactam biosynthesis","8","6","3","0.84913","0.15777","0.44638","0.02066","9","0.09","1","1","1","P9","C00441;C03082;C03972"
"Arginine and proline metabolism","32","27","8","3.3965","0.32366","0.48938","0.023892","27","0.27","1","1","1","P10","C00179;C05936;C05938;C00148;C00025;C01165;C01157;C03912"
"Tryptophan metabolism","29","20","6","3.0781","0.35393","0.5525","0.029763","40","0.4","1","1","1","P11","C05651;C00643;C02693;C02937;C05635;C22202"
"Linoleic acid metabolism","4","3","2","0.42457","0.14815","0.56441","0.031053","15","0.15","1","1","1","P12","C04717;C14827"
"Nitrogen metabolism","12","3","2","1.2737","0.14815","0.56441","0.031053","25","0.25","1","1","1","P13","C00064;C00025"
"Glutathione metabolism","26","12","4","2.7597","0.32924","0.58447","0.03338","50","0.5","1","1","1","P14","C00127;C00025;C16565;C05422"
"Biotin metabolism","18","4","2","1.9105","0.24981","0.67013","0.046044","15","0.15","1","1","1","P15","C01037;C01092"
"Lysine biosynthesis","9","9","3","0.95527","0.37992","0.6808","0.048012","26","0.26","1","1","1","P16","C03082;C00441;C03972"
"Nicotinate and nicotinamide metabolism","13","9","3","1.3798","0.37992","0.6808","0.048012","32","0.32","1","1","1","P17","C03150;C00253;C00153"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","14","4","4.9887","0.45476","0.69664","0.051133","32","0.32","1","1","1","P18","C00885;C00156;C00251;C00423"
"Glycerophospholipid metabolism","38","10","3","4.0334","0.45409","0.73865","0.060782","64","0.64","1","1","1","P19","C00588;C00346;C01210"
"Cysteine and methionine metabolism","47","29","7","4.9887","0.58297","0.7412","0.061442","38","0.38","1","1","1","P20","C01234;C00073;C01118;C00979;C00606;C03082;C00441"
"Arachidonic acid metabolism","9","5","2","0.95527","0.35263","0.75031","0.063879","10","0.1","1","1","1","P21","C00909;C02165"
"Purine metabolism","73","39","9","7.7483","0.6374","0.76644","0.06852","40","0.4","1","1","1","P22","C00499;C00064;C00212;C00360;C02350;C00366;C11821;C00147;C00330"
"Citrate cycle (TCA cycle)","20","11","3","2.1228","0.52435","0.78735","0.075252","35","0.35","1","1","1","P23","C00311;C00417;C00158"
"Glycine, serine and threonine metabolism","33","21","5","3.5027","0.60745","0.78796","0.075461","32","0.32","1","1","1","P24","C00258;C00213;C01102;C03082;C00441"
"Sulfur metabolism","15","6","2","1.5921","0.45006","0.8111","0.084072","33","0.33","1","1","1","P25","C00979;C01118"
"Pyrimidine metabolism","41","23","5","4.3518","0.69471","0.84692","0.1005","22","0.22","1","1","1","P26","C00105;C00064;C00881;C00364;C21029;C01368;C00099;C01168"
"Pantothenate and CoA biosynthesis","25","18","4","2.6535","0.67347","0.85029","0.10228","61","0.61","1","1","1","P27","C00831;C00099;C03492;C00966"
"Lysine degradation","20","7","2","2.1228","0.53865","0.85716","0.10609","73","0.73","1","1","1","P28","C00449;C00408"
"Porphyrin metabolism","48","13","3","5.0948","0.64846","0.86144","0.10857","19","0.19","1","1","1","P29","C00430;C03741;C00025"
"Biosynthesis of various plant secondary metabolites","29","19","4","3.0781","0.71767","0.87614","0.11784","22","0.22","1","1","1","P30","C00073;C02637;C00179;C22438"
"Arginine biosynthesis","18","14","3","1.9105","0.70129","0.8889","0.12698","58","0.58","1","1","1","P31","C00025;C03406;C00064"
"Cyanoamino acid metabolism","29","25","5","3.0781","0.76784","0.89151","0.12899","76","0.76","1","1","1","P32","C01594;C08334;C01401;C00302;C02659"
"alpha-Linolenic acid metabolism","26","15","3","2.7597","0.7479","0.91127","0.14626","40","0.4","1","1","1","P33","C06427;C08491;C21924"
"Valine, leucine and isoleucine biosynthesis","22","21","4","2.3351","0.79262","0.91632","0.15135","79","0.79","1","1","1","P34","C02226;C06006;C14463;C04236"
"Thiamine metabolism","22","9","2","2.3351","0.68464","0.91845","0.15358","48","0.48","1","1","1","P35","C01279;C20247"
"Zeatin biosynthesis","21","9","2","2.229","0.68464","0.91845","0.15358","35","0.35","1","1","1","P36","C02029;C00147"
"Amino sugar and nucleotide sugar metabolism","52","22","4","5.5194","0.82369","0.93163","0.16902","18","0.18","1","1","1","P37","C00352;C00267;C00159;C00095;C01132;C00140"
"Caffeine metabolism","10","10","2","1.0614","0.74227","0.93842","0.17823","62","0.62","1","1","1","P38","C16362;C16360;C16356"
"Histidine metabolism","16","11","2","1.6983","0.7907","0.95353","0.20303","44","0.44","1","1","1","P39","C01929;C00860"
"beta-Alanine metabolism","18","12","2","1.9105","0.83097","0.96495","0.22777","83","0.83","1","1","1","P40","C00099;C00986"
"Tyrosine metabolism","17","17","2","1.8044","0.94552","0.99151","0.34561","94","0.94","1","1","1","P41","C05576;C01061;C01036"
"Galactose metabolism","27","18","2","2.8658","0.957","0.99361","0.36752","42","0.42","1","1","1","P42","C05401;C00267;C00124;C00095;C00031;C00159;C00137;C00984"
"Diterpenoid biosynthesis","29","18","2","3.0781","0.957","0.99361","0.36752","70","0.7","1","1","1","P43","C11875;C11870"
"Flavonoid biosynthesis","47","40","5","4.9887","0.98254","0.99467","0.3811","35","0.35","1","1","1","P44","C05905;C05906;C02906;C12136;C12128;C16415;C12124;C00774"
"Phenylpropanoid biosynthesis","43","27","3","4.5641","0.97726","0.99517","0.38832","87","0.87","1","1","1","P45","C05619;C05608;C02325;C00423"
"Glucosinolate biosynthesis","65","35","3","6.8992","0.99642","0.9994","0.52449","91","0.91","1","1","1","P46","C00073;C02937;C04350"
"Glycolysis / Gluconeogenesis","26","11","1","2.7597","0.95456","1","1","80","0.8","1","1","1","P47","C00221;C00267"
"Pentose phosphate pathway","19","8","1","2.0167","0.89378","1","1","48","0.48","1","1","1","P48","C00257"
"Pentose and glucuronate interconversions","17","10","1","1.8044","0.93967","1","1","70","0.7","1","1","1","P49","C00800"
"Fructose and mannose metabolism","18","9","1","1.9105","0.91993","1","1","66","0.66","1","1","1","P50","C00267;C00159;C00095"
"Phenylalanine metabolism","12","8","1","1.2737","0.89378","1","1","75","0.75","1","1","1","P51","C00423"
"Phosphonate and phosphinate metabolism","5","2","1","0.53071","0.42741","1","1","41","0.41","1","1","1","P52","C06459"
"Starch and sucrose metabolism","22","9","1","2.3351","0.91993","1","1","63","0.63","1","1","1","P53","C00095;C00031"
"Glycerolipid metabolism","21","4","1","2.229","0.67279","1","1","17","0.17","1","1","1","P54","C00258"
"Inositol phosphate metabolism","28","7","1","2.972","0.85918","1","1","76","0.76","1","1","1","P55","C00137"
"Sphingolipid metabolism","27","4","1","2.8658","0.67279","1","1","42","0.42","1","1","1","P56","C00346"
"Propanoate metabolism","19","9","1","2.0167","0.91993","1","1","70","0.7","1","1","1","P57","C05983"
"Butanoate metabolism","17","11","1","1.8044","0.95456","1","1","96","0.96","1","1","1","P58","C00025"
"C5-Branched dibasic acid metabolism","6","6","1","0.63685","0.81339","1","1","72","0.72","1","1","1","P59","C02226"
"One carbon pool by folate","8","5","1","0.84913","0.75283","1","1","25","0.25","1","1","1","P60","C00504"
"Carbon fixation in photosynthetic organisms","21","7","1","2.229","0.85918","1","1","73","0.73","1","1","1","P61","C00041"
"Riboflavin metabolism","13","6","1","1.3798","0.81339","1","1","44","0.44","1","1","1","P62","C04454;C01304"
"Indole alkaloid biosynthesis","4","2","1","0.42457","0.42741","1","1","23","0.23","1","1","1","P63","C01852"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","8","1","0.95527","0.89378","1","1","74","0.74","1","1","1","P64","C12455"
"Biosynthesis of unsaturated fatty acids","22","10","1","2.3351","0.93967","1","1","47","0.47","1","1","1","P65","C06426;C06427"
