KEGG_map,Description,Compounds,Num,Hits_N,Num_N,Hits_n,Num_n,P value
psat00250,"Alanine, aspartate and glutamate metabolism","['C00122', 'C00042', 'C00036', 'C00026', 'C00041', 'C00049', 'C00152', 'C00402', 'C02362', 'C01042', 'C03794', 'C03406', 'C00022', 'C00438', 'C00232', 'C00025', 'C00334', 'C00064', 'C00014', 'C00169', 'C00940', 'C03912', 'C00352', 'C03090', 'C00014', 'C12270', 'C20776', 'C00158', 'C20775']",29,"['C00940', 'C00334', 'C00049', 'C00042', 'C00036', 'C03090', 'C00025', 'C00152', 'C00064', 'C00352', 'C00041', 'C00232', 'C00026', 'C01042', 'C00022', 'C00122']",16,"['C00036', 'C00042', 'C00232', 'C00025', 'C00122']",5,0.00012160627720167114
psat00620,Pyruvate metabolism,"['C15973', 'C15972', 'C16255', 'C05125', 'C03248', 'C00074', 'C03981', 'C00058', 'C00149', 'C00332', 'C00024', 'C00227', 'C05993', 'C02504', 'C02488', 'C05994', 'C01251', 'C00083', 'C00084', 'C00033', 'C00186', 'C00256', 'C03451', 'C00937', 'C00424', 'C00546', 'C00022', 'C00036', 'C00068', 'C00122', 'C00042', 'C00469']",32,"['C00149', 'C02504', 'C00042', 'C00036', 'C00186', 'C00033', 'C00022', 'C00122']",8,"['C00149', 'C02504', 'C00036', 'C00042', 'C00122']",5,0.00019775569474640437
psat00660,C5-Branched dibasic acid metabolism,"['C00810', 'C06010', 'C01011', 'C00531', 'C00490', 'C00417', 'C02614', 'C00033', 'C00022', 'C00048', 'C02630', 'C00100', 'C06027', 'C06028', 'C01732', 'C06029', 'C06030', 'C00026', 'C00025', 'C03618', 'C06031', 'C06032', 'C02226', 'C02612', 'C06033', 'C06034', 'C00109', 'C02876', 'C06035', 'C00651', 'C06234', 'C01109', 'C02341', 'C21632', 'C00024']",35,"['C03618', 'C00417', 'C01732', 'C01109', 'C00490', 'C00025', 'C06032', 'C00033', 'C00026', 'C02226', 'C00022', 'C02341', 'C06029', 'C00048']",14,"['C03618', 'C00025', 'C06032', 'C02341', 'C06029']",5,0.00030573844334328727
psat00020,Citrate cycle (TCA cycle),"['C00022', 'C00122', 'C00036', 'C05379', 'C00024', 'C00149', 'C00311', 'C00417', 'C00042', 'C00158', 'C15972', 'C00068', 'C16254', 'C15973', 'C00091', 'C00026', 'C05381', 'C05125', 'C00068', 'C15972', 'C16255', 'C15973', 'C00074']",23,"['C00149', 'C00042', 'C00417', 'C00036', 'C00026', 'C00022', 'C00311', 'C00122']",8,"['C00036', 'C00149', 'C00122', 'C00042']",4,0.0005823735798481739
psat00750,Vitamin B6 metabolism,"['C00118', 'C00117', 'C07335', 'C00232', 'C01215', 'C01270', 'C04604', 'C06050', 'C00971', 'C00250', 'C00534', 'C00647', 'C00018', 'C00627', 'C00266', 'C00314', 'C04773', 'C04690', 'C03393', 'C00279', 'C06051', 'C06052', 'C04106', 'C06054', 'C06055', 'C00847', 'C11638', 'C06056', 'C00064']",29,"['C00018', 'C00971', 'C00847', 'C00064', 'C00232', 'C06052', 'C00647']",7,"['C00847', 'C00232', 'C00647', 'C00018']",4,0.0014411236619272152
psat01230,Biosynthesis of amino acids,"['C04390', 'C04002', 'C00118', 'C00111', 'C00236', 'C00197', 'C00631', 'C00074', 'C00022', 'C00354', 'C00085', 'C00231', 'C00199', 'C00117', 'C00119', 'C00279', 'C02612', 'C06032', 'C00109', 'C06010', 'C04272', 'C00141', 'C00183', 'C06006', 'C06007', 'C00671', 'C00407', 'C02504', 'C04411', 'C00233', 'C00123', 'C00188', 'C00065', 'C00037', 'C03232', 'C01005', 'C00979', 'C00097', 'C00049', 'C03082', 'C00441', 'C00263', 'C01118', 'C02291', 'C00155', 'C00073', 'C01102', 'C00036', 'C03283', 'C00158', 'C00311', 'C00026', 'C01251', 'C05662', 'C00322', 'C00025', 'C00956', 'C00624', 'C04133', 'C01250', 'C00437', 'C00077', 'C00327', 'C03406', 'C00062', 'C00169', 'C00011', 'C03287', 'C01165', 'C03912', 'C00148', 'C19886', 'C19887', 'C19888', 'C19889', 'C00047', 'C04076', 'C00449', 'C20258', 'C00041', 'C00064', 'C00152', 'C03972', 'C04462', 'C04421', 'C00666', 'C00680', 'C00047', 'C05539', 'C03871', 'C05382', 'C02739', 'C02741', 'C04896', 'C04916', 'C04666', 'C01267', 'C01100', 'C00860', 'C00135', 'C04691', 'C00944', 'C02637', 'C00493', 'C03175', 'C01269', 'C00251', 'C00254', 'C01179', 'C00082', 'C00166', 'C00079', 'C00108', 'C04302', 'C01302', 'C03506', 'C00078', 'C00826', 'C00014', 'C06019', 'C00019', 'C00021', 'C03539', 'C05824', 'C20948', 'C20949', 'C20950', 'C20951', 'C15532']",129,"['C01165', 'C00108', 'C02504', 'C00188', 'C00148', 'C00624', 'C00065', 'C00041', 'C06032', 'C00263', 'C00311', 'C00073', 'C00979', 'C00493', 'C00254', 'C00078', 'C00049', 'C00956', 'C00036', 'C00135', 'C00025', 'C00183', 'C00026', 'C04076', 'C00141', 'C00123', 'C00021', 'C00062', 'C00322', 'C00064', 'C01118', 'C01102', 'C00082', 'C00449', 'C00441', 'C00327', 'C00152', 'C00047', 'C00022', 'C00077']",40,"['C02504', 'C00956', 'C00148', 'C00036', 'C00025', 'C06032', 'C04076', 'C00254']",8,0.0017205981753345065
psat01200,Carbon metabolism,"['C00085', 'C01182', 'C00197', 'C00101', 'C00267', 'C00668', 'C00345', 'C00354', 'C01236', 'C00236', 'C00118', 'C00111', 'C00631', 'C00279', 'C00447', 'C05382', 'C00117', 'C00199', 'C00231', 'C06019', 'C00022', 'C00074', 'C00119', 'C00014', 'C01217', 'C00283', 'C01438', 'C00132', 'C00067', 'C00058', 'C00011', 'C01001', 'C03920', 'C00218', 'C00543', 'C00565', 'C04488', 'C04377', 'C04330', 'C01274', 'C00237', 'C00488', 'C00440', 'C00143', 'C00445', 'C00234', 'C00048', 'C00037', 'C03232', 'C01005', 'C00065', 'C00258', 'C00168', 'C00024', 'C05668', 'C00083', 'C01013', 'C00222', 'C01213', 'C00683', 'C00100', 'C00894', 'C01011', 'C06027', 'C06028', 'C18323', 'C00989', 'C00332', 'C01144', 'C00877', 'C11062', 'C00232', 'C00091', 'C00036', 'C00149', 'C00122', 'C00042', 'C04348', 'C00158', 'C00311', 'C00566', 'C00026', 'C00184', 'C00979', 'C00097', 'C04628', 'C04832', 'C03576', 'C00169', 'C04442', 'C00198', 'C00257', 'C00204', 'C00577', 'C00136', 'C00049', 'C00041', 'C00227', 'C00033', 'C03561', 'C18026', 'C20238', 'C18324', 'C00025', 'C03618', 'C01732', 'C00988', 'C00160']",108,"['C00065', 'C00041', 'C00232', 'C01013', 'C00311', 'C00979', 'C00049', 'C00042', 'C01732', 'C00036', 'C00025', 'C00033', 'C00160', 'C00026', 'C00122', 'C00149', 'C03618', 'C00168', 'C00022', 'C00048']",20,"['C00149', 'C03618', 'C00036', 'C00042', 'C00025', 'C00232', 'C00122']",7,0.002587251274000667
psat00190,Oxidative phosphorylation,"['C00080', 'C00080', 'C00004', 'C00003', 'C00080', 'C00122', 'C00080', 'C00080', 'C00080', 'C00007', 'C00001', 'C00080', 'C00080', 'C00008', 'C00009', 'C00080', 'C00013', 'C00536', 'C00002', 'C00001', 'C00042']",21,"['C00042', 'C00122', 'C00002']",3,"['C00042', 'C00122', 'C00002']",3,0.005308750904903318
psat00630,Glyoxylate and dicarboxylate metabolism,"['C00898', 'C00036', 'C00158', 'C00149', 'C04348', 'C03548', 'C00552', 'C03459', 'C00975', 'C01146', 'C00258', 'C00988', 'C00168', 'C00266', 'C01380', 'C00160', 'C00048', 'C00209', 'C00058', 'C00011', 'C02405', 'C06049', 'C00798', 'C00313', 'C00417', 'C00311', 'C00042', 'C01127', 'C00022', 'C01990', 'C01989', 'C02123', 'C03217', 'C00026', 'C00888', 'C00136', 'C00036', 'C00332', 'C03561', 'C00877', 'C18026', 'C18324', 'C06028', 'C00683', 'C00100', 'C00091', 'C06027', 'C00024', 'C01213', 'C00037', 'C00014', 'C00065', 'C00197', 'C00007', 'C00027', 'C00025', 'C00026', 'C00064', 'C20238', 'C00025', 'C03618', 'C01732', 'C00631', 'C00033', 'C22337', 'C00111', 'C01182']",67,"['C00149', 'C03618', 'C00042', 'C00417', 'C01732', 'C00065', 'C00025', 'C00036', 'C00064', 'C00033', 'C00168', 'C00160', 'C00975', 'C03217', 'C00026', 'C00022', 'C00311', 'C00048']",18,"['C00149', 'C03618', 'C00036', 'C00042', 'C00025']",5,0.005840052704328771
psat00592,alpha-Linolenic acid metabolism,"['C11512', 'C16318', 'C08491', 'C16317', 'C16339', 'C16338', 'C16336', 'C16335', 'C16334', 'C16332', 'C16331', 'C16330', 'C16325', 'C16327', 'C16328', 'C16300', 'C16309', 'C16326', 'C04672', 'C01226', 'C16319', 'C04780', 'C16311', 'C16316', 'C16322', 'C16345', 'C00157', 'C16344', 'C16323', 'C16324', 'C16321', 'C16342', 'C16341', 'C16308', 'C16320', 'C06427', 'C16343', 'C16346', 'C16310', 'C04785', 'C08492', 'C19757', 'C21923', 'C21924']",44,"['C16322', 'C16346', 'C16300', 'C16319', 'C16316', 'C06427', 'C16326', 'C00157', 'C16309', 'C08491', 'C16325', 'C04785', 'C16311', 'C16308', 'C01226', 'C16344', 'C16320']",17,"['C04785', 'C16344', 'C16319', 'C16320']",4,0.00674204011679265
