"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Valine, leucine and isoleucine degradation","37","15","4","1.0127","0.017024","0.078784","0.0010136","0","0","0.51072","1","0.0314216","P1","C00407;C06002;C00349;C00123;C02170;C00164"
"alpha-Linolenic acid metabolism","26","15","4","0.71162","0.017024","0.078784","0.0010136","1","0.01","0.51072","1","0.0314216","P2","C04785;C01226;C04672;C16321;C21923;C16324;C16341;C21924"
"Propanoate metabolism","19","8","3","0.52003","0.014615","0.10092","0.0011082","0","0","0.453065","1","0.0321378","P3","C06002;C00042;C00109"
"Butanoate metabolism","17","11","3","0.46529","0.037031","0.17392","0.0014915","2","0.02","1","1","0.041762","P4","C00232;C00164;C00042"
"C5-Branched dibasic acid metabolism","6","6","2","0.16422","0.061788","0.35196","0.0031492","3","0.03","1","1","0.0850284","P5","C02226;C00109"
"Purine metabolism","73","35","4","1.998","0.23227","0.44529","0.0047401","8","0.08","1","1","0.1232426","P6","C00499;C00361;C00294;C04051"
"Valine, leucine and isoleucine biosynthesis","22","22","3","0.60214","0.20093","0.46079","0.0050807","6","0.06","1","1","0.1270175","P7","C02226;C00123;C00109;C00407"
"Alanine, aspartate and glutamate metabolism","22","18","2","0.60214","0.37137","0.73173","0.019071","35","0.35","1","1","0.457704","P8","C00232;C00042"
"Arginine and proline metabolism","32","21","2","0.87583","0.44929","0.78548","0.025865","50","0.5","1","1","0.594895","P9","C00134;C02946"
"Cysteine and methionine metabolism","47","25","2","1.2864","0.5446","0.84109","0.036557","33","0.33","1","1","0.804254","P10","C00109;C21016"
"Citrate cycle (TCA cycle)","20","11","1","0.5474","0.55942","1","1","33","0.33","1","1","1","P11","C00042"
"Ascorbate and aldarate metabolism","20","13","1","0.5474","0.62109","1","1","52","0.52","1","1","1","P12","C01041"
"Pyrimidine metabolism","41","18","1","1.1222","0.74074","1","1","40","0.4","1","1","1","P13","C00475"
"Glycine, serine and threonine metabolism","33","20","1","0.9032","0.77747","1","1","51","0.51","1","1","1","P14","C00109"
"Monobactam biosynthesis","8","5","1","0.21896","0.30964","1","1","20","0.2","1","1","1","P15","C03972"
"Lysine biosynthesis","9","8","1","0.24633","0.44815","1","1","33","0.33","1","1","1","P16","C03972"
"Lysine degradation","20","7","1","0.5474","0.4053","1","1","44","0.44","1","1","1","P17","C04076"
"Tyrosine metabolism","17","17","1","0.46529","0.72022","1","1","60","0.6","1","1","1","P18","C00164"
"Tryptophan metabolism","29","21","1","0.79372","0.79388","1","1","54","0.54","1","1","1","P19","C00643"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","1","0.60214","0.69812","1","1","60","0.6","1","1","1","P20","C01302;C04302"
"Cyanoamino acid metabolism","29","22","1","0.79372","0.80911","1","1","68","0.68","1","1","1","P21","C05711"
"Glutathione metabolism","26","10","1","0.71162","0.52501","1","1","57","0.57","1","1","1","P22","C00134"
"Amino sugar and nucleotide sugar metabolism","52","19","1","1.4232","0.75979","1","1","30","0.3","1","1","1","P23","C01132;C00140"
"Linoleic acid metabolism","4","3","1","0.10948","0.19902","1","1","13","0.13","1","1","1","P24","C04717;C14827"
"Glyoxylate and dicarboxylate metabolism","29","15","1","0.79372","0.67432","1","1","46","0.46","1","1","1","P25","C00042"
"Pantothenate and CoA biosynthesis","25","18","1","0.68425","0.74074","1","1","51","0.51","1","1","1","P26","C00054"
"Folate biosynthesis","31","15","1","0.84846","0.67432","1","1","57","0.57","1","1","1","P27","C01300"
"Indole alkaloid biosynthesis","4","2","1","0.10948","0.13741","1","1","1","0.01","1","1","1","P28","C01852"
"Sulfur metabolism","15","6","1","0.41055","0.35921","1","1","18","0.18","1","1","1","P29","C00042"
"Phenylpropanoid biosynthesis","43","23","1","1.1769","0.82324","1","1","50","0.5","1","1","1","P30","C05610"
"Glucosinolate biosynthesis","65","29","1","1.779","0.8889","1","1","43","0.43","1","1","1","P31","C00123;C00407"
