Identification Level,External Identifier,Compound,sMED4_mean,sMED3_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,C03194,(R)-1-Aminopropan-2-ol,1.4973333333333334,0.3066666666666667,4.8826086956521735,0.009052121075333916,0.2469531780864534
Tier 2,C10434,5-O-Caffeoylshikimic acid,1.5999999999999999,0.3504666666666667,4.565341449495909,0.00663094303556711,0.23261265783185903
Tier 1,C00106,Uracil,1.072,0.27133333333333337,3.9508599508599507,0.020194413806248417,0.30396074573887705
Tier 2,,"(7S,8S)-DiHODE",1.2610000000000001,0.3443333333333333,3.6621490803485,0.0304969725952072,0.34825631360491627
Tier 2,,Isomer 2 of Prolyl-Histidine,1.3126666666666666,0.36003333333333326,3.6459587075270816,0.03796107482894455,0.3525533864432829
Tier 1,HMDB0029045,Seryl-Methionine,1.0759999999999998,0.31466666666666665,3.4194915254237284,0.0004705925371216026,0.05363911640383206
Tier 2,,Isomer 1 of Prolyl-Histidine,1.3236666666666668,0.3985666666666667,3.3210671573137076,0.036136124026758906,0.3525533864432829
Tier 2,,Isorhamnetin 3-Sulfate,1.3876666666666668,0.4201,3.3031817821153697,0.016251477627788048,0.30198261402352716
Tier 2,C04137,D-Octopine,1.7376666666666667,0.5346333333333333,3.2502026310867262,3.397679217493045e-05,0.009887246522904762
Tier 2,,4-Hydroxypiperidine,1.729,0.5436666666666666,3.1802575107296143,0.00022832839978726948,0.03703371252448837
Tier 2,,4-Hydroxybenzylamine,1.6776666666666664,0.5499999999999999,3.0503030303030303,2.9704133710136634e-05,0.009887246522904762
Tier 2,C12455,5-Aminopentanal,1.772,0.596,2.9731543624161074,0.00017133906976798198,0.03703371252448837
Tier 2,C10305,Barbaloin,0.71,0.24409999999999998,2.9086439983613275,0.04063391019437083,0.362707832420938
Tier 2,C05951,Leukotriene D4,1.9643333333333333,0.6819999999999999,2.880254154447703,0.010241291646601005,0.24835132243007438
Tier 2,C00431,Isomer 1 of 5-Aminopentanoic acid,1.3436666666666666,0.49433333333333335,2.7181389076196893,0.003481425146564064,0.22368883953056412
Tier 2,C20911,Tabtoxin biosynthesis intermediate 2,0.8076666666666666,0.2990333333333333,2.700925203433285,0.006861973227660264,0.23261265783185903
Tier 1,C02518,4-Aminosalicylic acid,1.5190000000000001,0.5647,2.689923853373473,0.03099497324868266,0.34825631360491627
Tier 2,,Rhamnosylisoorientin,1.271,0.4921333333333333,2.582633432674072,0.005978206692243439,0.23261265783185903
Tier 1,C00122,Fumaric Acid,1.0036666666666665,0.3993333333333333,2.5133555926544235,0.017370640325762108,0.30198261402352716
Tier 2,C16346,17-Hydroxylinolenic acid,1.1233333333333333,0.4493333333333333,2.5,0.004447940580146322,0.23261265783185903
Tier 2,C07354,"Isomer 1 of (7S,8S)-DiHODE",1.104,0.448,2.4642857142857144,0.04432183242630711,0.362707832420938
Tier 2,,Isomer 1 of Prolyl-Asparagine/Asparaginyl-Proline,1.2510000000000001,0.5096666666666667,2.4545454545454546,0.02318037810197649,0.3178851804911741
Tier 2,,4-Hydroxy-2H-pyran-3-carboxaldehyde,1.7246666666666668,0.7036333333333333,2.4510872139845565,0.04791396637195629,0.36285233093448704
Tier 2,,Ophthalmic acid,0.876,0.361,2.4265927977839334,0.04554664732522449,0.362707832420938
Tier 2,C14828,"9,10-DHOME",1.1436666666666666,0.47433333333333333,2.4111033028812368,0.014063171619622233,0.30198261402352716
Tier 2,,Norbuprenorphine,1.1833333333333333,0.5032333333333333,2.3514605550771677,0.04589536598660315,0.362707832420938
Tier 2,C00322,2-Oxoadipic acid,1.3543333333333332,0.6154333333333333,2.200617451118453,0.035385413096551986,0.3525533864432829
Tier 1,C06427,alpha-Linolenic acid,3.014666666666667,1.393,2.164154103852596,0.003587220794304579,0.22368883953056412
Tier 2,C01077,O-Acetyl-L-homoserine,1.0786666666666667,0.503,2.144466534128562,0.020604633229434496,0.3048787255812935
Tier 2,C21646,8-Amino-8-demethylriboflavin,0.5083333333333333,0.2451,2.073983408132735,0.0373910659632238,0.3525533864432829
Tier 2,C02165,Leukotriene B4,1.1083333333333334,0.5433333333333333,2.039877300613497,0.04210024158291368,0.362707832420938
Tier 1,HMDB0029019,Prolyl-Histidine,1.7773333333333337,0.8733333333333334,2.035114503816794,0.015009013938207602,0.30198261402352716
Tier 2,,3-Oxopropanoic acid,0.8716666666666667,0.4316,2.0196169292554838,0.030115335692446576,0.34825631360491627
Tier 1,C00777,Retinoic acid,2.5416666666666665,1.2636666666666667,2.0113426536533896,0.006213162384434277,0.23261265783185903
Tier 2,C14100,4-Formylsalicylic acid,2.006666666666667,1.006,1.994698475811796,0.0096151515321169,0.247822381792323
Tier 2,,2-Amino-4-Carboxypyrimidine,1.0923333333333334,0.5526666666666666,1.9764776839565743,0.040997775760201714,0.362707832420938
Tier 2,,2-Aminoacetophenone,1.5176666666666667,0.7696999999999999,1.971763890693344,0.04611749072018799,0.362707832420938
Tier 1,HMDB0029012,Prolyl-Asparagine/Asparaginyl-Proline,1.2933333333333332,0.6753333333333332,1.9151036525172755,0.022928876913088515,0.3178851804911741
Tier 2,C16326,9(S)-HOT,0.9269999999999999,0.49066666666666664,1.8892663043478262,0.02524076548084597,0.3240468862467431
Tier 2,,Isomer 1 of Prolyl-Valine,0.726,0.38566666666666666,1.8824546240276576,0.007973034632854283,0.23261265783185903
Tier 2,,Hydroxyprolyl-Hydroxyproline,0.6789999999999999,0.363,1.8705234159779613,0.0002545272338452809,0.03703371252448837
Tier 2,C01384,Maleic acid,0.6823333333333332,0.36600000000000005,1.8642987249544622,0.006833190522399278,0.23261265783185903
Tier 2,C05791,D-Urobilin,0.5616666666666666,0.30216666666666664,1.8587975730832875,0.03644534415403141,0.3525533864432829
Tier 2,C14766,9-OxoODE,0.7006666666666668,0.385,1.8199134199134201,0.04607353454300169,0.362707832420938
Tier 2,C04076,L-Allysine,1.2336666666666667,0.6843333333333333,1.8027277155382366,0.041576029483187955,0.362707832420938
Tier 2,C03771,2-Oxoarginine,0.9860000000000001,0.5473666666666667,1.801351927410024,0.03570428341325843,0.3525533864432829
Tier 2,,7'-Carboxy-alpha-tocotrienol,0.705,0.40066666666666667,1.759567387687188,0.01820682600841944,0.30198261402352716
Tier 2,,3-Nitrotyrosine,1.096,0.624,1.7564102564102566,0.0013645212494987186,0.1323585612013757
Tier 2,C06469,Neuraminic acid,0.835,0.4766666666666666,1.7517482517482519,0.018824261498935724,0.30198261402352716
Tier 2,,Isomer 1 of Hydroxyprolyl-Valine,0.7919999999999999,0.4523333333333333,1.7509211495946941,0.03302190550411058,0.34825631360491627
Tier 2,C02647,4-Guanidinobutanal,1.1956666666666667,0.7173333333333334,1.6668215613382897,0.025854122391051452,0.32711085286069447
Tier 1,HMDB0011180,prolyl-proline,0.9503333333333334,0.5733333333333334,1.6575581395348837,0.042795380882448705,0.362707832420938
Tier 1,HMDB0028832,Glutamyl-Valine,0.9043333333333333,0.5499999999999999,1.6442424242424245,0.017735097643890564,0.30198261402352716
Tier 2,C02372,4-Hydroxyaniline,1.5653333333333335,0.968,1.6170798898071628,0.03221421096369376,0.34825631360491627
Tier 1,C00299,Uridine,1.7766666666666666,1.1126666666666667,1.596764529658478,0.010875807734956795,0.2566102743950617
Tier 1,C00002,Adenosine,0.8216666666666667,0.5163333333333334,1.5913492575855388,0.04969719076047217,0.36285233093448704
