"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Arginine biosynthesis","18","14","6","1.0694","0.0065119","0.029265","0.002836","1","0.01","0.3451307","1","0.150308","P1","C00437;C01250;C04133;C00077;C00122;C00064"
"Folate biosynthesis","31","16","5","1.8418","0.053494","0.15643","0.0043474","6","0.06","1","1","0.2260648","P2","C00251;C00921;C01300;C18239;C01304"
"Glutathione metabolism","26","12","4","1.5447","0.066961","0.21107","0.0052438","11","0.11","1","1","0.2674338","P3","C01879;C00134;C00072;C16565"
"Selenocompound metabolism","13","2","2","0.77236","0.018339","0.25119","0.0060279","0","0","0.953628","1","0.301395","P4","C00041;C05690"
"Lysine biosynthesis","9","9","3","0.53471","0.11108","0.34673","0.008459","7","0.07","1","1","0.414491","P5","C00666;C00680;C03972"
"Vitamin B6 metabolism","12","9","3","0.71295","0.11108","0.34673","0.008459","3","0.03","1","1","0.414491","P6","C00064;C00647;C00250"
"Pyrimidine metabolism","41","23","5","2.4359","0.19187","0.37502","0.0093718","3","0.03","1","1","0.4404746","P7","C00064;C00475;C00239;C21029;C00099"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","4","1.3071","0.19002","0.40651","0.010518","19","0.19","1","1","0.483828","P8","C00251;C00254;C03175;C00944;C00079;C02637"
"Purine metabolism","73","39","7","4.3371","0.27138","0.43099","0.011517","13","0.13","1","1","0.518265","P9","C00064;C00212;C00144;C00366;C11821;C06193;C00387;C00330"
"Alanine, aspartate and glutamate metabolism","22","19","4","1.3071","0.25171","0.48248","0.013984","18","0.18","1","1","0.615296","P10","C00041;C00064;C00036;C00122"
"Tryptophan metabolism","29","20","4","1.723","0.28406","0.51878","0.016084","23","0.23","1","1","0.691612","P11","C00322;C00632;C05634;C00331;C00954"
"D-Amino acid metabolism","7","6","2","0.41589","0.19076","0.58133","0.020612","3","0.03","1","1","0.865704","P12","C00666;C00680"
"Carbon fixation in photosynthetic organisms","21","7","2","1.2477","0.24441","0.63818","0.026072","1","0.01","1","1","1","P13","C00036;C00041"
"Glyoxylate and dicarboxylate metabolism","29","16","3","1.723","0.37452","0.65794","0.028363","13","0.13","1","1","1","P14","C00160;C00064;C00036"
"Cyanoamino acid metabolism","29","25","4","1.723","0.44964","0.67754","0.03088","36","0.36","1","1","1","P15","C01594;C00079;C01401;C05711"
"Phenylalanine metabolism","12","8","2","0.71295","0.29857","0.6874","0.03225","12","0.12","1","1","1","P16","C00079;C00601"
"Biosynthesis of various plant secondary metabolites","29","19","3","1.723","0.49053","0.75049","0.043086","16","0.16","1","1","1","P17","C15486;C02637;C22438"
"Pentose and glucuronate interconversions","17","10","2","1.01","0.40428","0.76682","0.046625","7","0.07","1","1","1","P18","C02273;C00379"
"Citrate cycle (TCA cycle)","20","11","2","1.1883","0.45438","0.79868","0.054725","17","0.17","1","1","1","P19","C00036;C00122"
"Pyruvate metabolism","23","12","2","1.3665","0.50204","0.82623","0.063359","9","0.09","1","1","1","P20","C00036;C00122"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","14","2","2.7924","0.58906","0.87064","0.081988","43","0.43","1","1","1","P21","C00885;C00251"
"Arginine and proline metabolism","32","27","3","1.9012","0.73687","0.89988","0.099284","62","0.62","1","1","1","P22","C00134;C04281;C00077"
"Phenylpropanoid biosynthesis","43","27","3","2.5547","0.73687","0.89988","0.099284","39","0.39","1","1","1","P23","C02666;C00079;C00482"
"Ascorbate and aldarate metabolism","20","16","2","1.1883","0.66446","0.90379","0.10204","61","0.61","1","1","1","P24","C00072;C01041;C02670;C03289;C00818"
"Tyrosine metabolism","17","17","2","1.01","0.69785","0.91706","0.11247","62","0.62","1","1","1","P25","C01061;C01036;C00122"
"Cysteine and methionine metabolism","47","29","2","2.7924","0.92454","0.9863","0.24371","74","0.74","1","1","1","P26","C01234;C00506"
"Glucosinolate biosynthesis","65","35","2","3.8618","0.96464","0.99451","0.30674","73","0.73","1","1","1","P27","C17213;C17248;C00079"
"Glycolysis / Gluconeogenesis","26","11","1","1.5447","0.8026","1","1","29","0.29","1","1","1","P28","C00036"
"Galactose metabolism","27","18","1","1.6041","0.93079","1","1","40","0.4","1","1","1","P29","C05401"
"Fatty acid degradation","37","2","1","2.1983","0.25383","1","1","1","0.01","1","1","1","P30","C03547"
"Caffeine metabolism","10","10","1","0.59413","0.77094","1","1","48","0.48","1","1","1","P31","C16361"
"Glycine, serine and threonine metabolism","33","21","1","1.9606","0.956","1","1","77","0.77","1","1","1","P32","C00213"
"Monobactam biosynthesis","8","6","1","0.4753","0.58577","1","1","28","0.28","1","1","1","P33","C03972"
"Lysine degradation","20","7","1","1.1883","0.64266","1","1","62","0.62","1","1","1","P34","C00449"
"Histidine metabolism","16","11","1","0.9506","0.8026","1","1","35","0.35","1","1","1","P35","C01262"
"beta-Alanine metabolism","18","12","1","1.0694","0.82992","1","1","71","0.71","1","1","1","P36","C00099"
"Taurine and hypotaurine metabolism","5","4","1","0.29706","0.44377","1","1","8","0.08","1","1","1","P37","C00506"
