Identification Level,External Identifier,Compound,sFED1_mean,sMED1_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,,L-cis-3-Amino-2-pyrrolidinecarboxylic acid,1.035,0.11133333333333334,9.296407185628741,0.038455211729981405,0.3118300660852918
Tier 1,C00152,Asparagine,4.189,0.5583333333333332,7.50268656716418,0.024080829461080894,0.2563727331649222
Tier 2,C02512,3-Cyano-L-alanine,5.138333333333333,0.6910000000000002,7.43608297153883,0.012556303560114994,0.20682364166000736
Tier 2,C03771,2-Oxoarginine,2.4923333333333333,0.5441666666666666,4.58009188361409,0.00975597042380853,0.18560138188522907
Tier 1,C03401,"2,3-Diaminoproprionic acid",1.6533333333333333,0.3873333333333333,4.268502581755594,0.011360236724092549,0.19446052274770187
Tier 1,,N6-Acetyl-Lysine,0.9979999999999999,0.2421,4.122263527467988,0.0001451979405160592,0.048723063613183
Tier 1,C00135,L-Histidine,0.17300000000000001,0.042666666666666665,4.054687500000001,0.003185605309537434,0.13270210137145755
Tier 2,C20253,Isomer 1 of Aminoacrylic acid,2.768666666666667,0.7036666666666668,3.9346281383230695,9.663884189975248e-06,0.008436570897848392
Tier 2,C05711,gamma-Glutamyl-beta-cyanoalanine,1.4373333333333334,0.3766333333333334,3.8162669262766613,0.017872610822558983,0.23640589769839385
Tier 2,C03296,N2-Succinyl-L-arginine,0.587,0.15533333333333332,3.778969957081545,0.021559532549044597,0.2444347001989082
Tier 2,,Isomer 1 of Prolyl-Glutamine,0.8093333333333333,0.26599999999999996,3.042606516290727,0.037224531586278614,0.3109388554567241
Tier 2,C02647,4-Guanidinobutanal,3.1003333333333334,1.0606666666666666,2.923004399748586,0.026181260366358653,0.2661178949540348
Tier 1,C00062,Arginine,1.886,0.66,2.8575757575757574,0.03857691539199486,0.3118300660852918
Tier 1,C01211,5-Hydroxylysine,1.8390000000000002,0.6789999999999999,2.7083946980854203,0.0002898682131003472,0.050610990007320625
Tier 1,C01933,Norleucine,0.3906666666666667,0.14466666666666667,2.700460829493088,0.04252787334892052,0.33148958422863944
Tier 2,,Seryl-Glycine,0.2313333333333333,0.09426666666666667,2.4540311173974536,0.003923643568116072,0.1427061076178459
Tier 2,,N3-Acetyl-3'-Hydroxykynurenamine,0.2776666666666667,0.11536666666666666,2.4068188384859868,0.004650695453991751,0.1427061076178459
Tier 2,C05715,gamma-Amino-gamma-cyanobutanoic acid,1.4276666666666664,0.596,2.3954138702460845,0.02363650895322369,0.25474904094029976
Tier 2,C15699,gamma-L-Glutamylputrescine,0.138,0.057666666666666665,2.3930635838150294,0.04894846588384092,0.35500696317962926
Tier 1,HMDB0028807,Glutaminyl-Threonine,2.997666666666666,1.2543333333333333,2.3898485251129413,0.027512428448719022,0.27064181325995224
Tier 2,,L-2-Hydroxyglutaric acid,1.8096666666666668,0.7730333333333334,2.340994351256953,0.0031648965096913516,0.13270210137145755
Tier 2,,(+)-Gallocatechin/(-)-Epigallocatechin,0.8849999999999999,0.381,2.322834645669291,0.0007071587999748114,0.06859440359755671
Tier 2,C03884,L-Targinine,2.5163333333333333,1.0833333333333333,2.322769230769231,0.0172183541085923,0.23486911151251683
Tier 1,C01924,Homoarginine,1.4683333333333335,0.6709999999999999,2.1882762046696476,0.017762491146485534,0.23640589769839385
Tier 2,C01682,Nopaline,4.062333333333333,1.8573666666666668,2.187146677195312,0.007009206987695047,0.17482964857879357
Tier 2,,Phenylalanyl-Aspartic acid,1.5803333333333331,0.7321666666666666,2.158433872069201,0.03663857571446227,0.31053860775461706
Tier 2,C05519,L-Allothreonine,0.9003333333333333,0.43933333333333335,2.049317147192716,0.0004280089846682136,0.06227530726922508
Tier 2,C03824,2-Aminomuconate semialdehyde,0.446,0.21799999999999997,2.045871559633028,0.02143649713925076,0.2444347001989082
Tier 2,C02305,Phosphocreatine,1.5446666666666664,0.7716333333333334,2.0018143332325367,0.01416727345332559,0.22084882528814592
Tier 2,,2-Amino-2-deoxy-D-gluconic acid,4.427333333333333,2.215666666666667,1.9981946742891528,0.010141798575803551,0.18560138188522907
