"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Ascorbate and aldarate metabolism","20","13","7","1.5087","0.0056917","0.02491","0.003366","4","0.04","0.3585771","1","0.212058","P1","C00191;C00072;C05422;C01041;C02670;C03289;C00818"
"Sphingolipid metabolism","27","4","3","2.0367","0.025302","0.17178","0.0054418","0","0","1","1","0.3373916","P2","C02934;C00319;C00346"
"Glycine, serine and threonine metabolism","33","20","7","2.4893","0.075969","0.17436","0.0054887","3","0.03","1","1","0.3373916","P3","C00188;C00263;C01888;C00168;C05519;C00441;C00022"
"Propanoate metabolism","19","8","4","1.4332","0.051591","0.18977","0.0057783","2","0.02","1","1","0.346698","P4","C00042;C00222;C05984;C21017"
"Tyrosine metabolism","17","17","6","1.2824","0.094868","0.22054","0.0064068","11","0.11","1","1","0.3780012","P5","C01179;C03758;C00022;C05350;C03765;C04043"
"Monobactam biosynthesis","8","5","3","0.60347","0.054239","0.25099","0.0071022","0","0","1","1","0.4119276","P6","C00441;C00022;C03972"
"Isoquinoline alkaloid biosynthesis","6","6","3","0.4526","0.093175","0.33093","0.0093513","10","0.1","1","1","0.5330241","P7","C03758;C01179;C04043"
"Cysteine and methionine metabolism","47","25","7","3.5454","0.201","0.35473","0.010164","6","0.06","1","1","0.569184","P8","C15606;C01077;C00263;C21015;C00022;C00441;C21016"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","11","4","3.5454","0.15081","0.36398","0.010501","14","0.14","1","1","0.577555","P9","C00885;C00251;C01179;C03657"
"Glycerophospholipid metabolism","38","11","4","2.8665","0.15081","0.36398","0.010501","16","0.16","1","1","0.577555","P10","C00346;C01233;C13482;C00670"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","5","1.6595","0.18768","0.37934","0.011087","18","0.18","1","1","0.587611","P11","C01302;C04302;C00251;C00254;C01179"
"Lysine biosynthesis","9","8","3","0.67891","0.19354","0.4812","0.016044","20","0.2","1","1","0.834288","P12","C00263;C00441;C03972"
"Caffeine metabolism","10","9","3","0.75434","0.25077","0.54834","0.020683","6","0.06","1","1","1","P13","C16358;C16353;C16359;C16355"
"Phenylalanine metabolism","12","9","3","0.90521","0.25077","0.54834","0.020683","13","0.13","1","1","1","P14","C05332;C05852;C07086"
"Glyoxylate and dicarboxylate metabolism","29","15","4","2.1876","0.3367","0.5833","0.023705","9","0.09","1","1","1","P15","C00417;C00168;C00033;C00042"
"Pentose and glucuronate interconversions","17","10","3","1.2824","0.31007","0.60922","0.026285","3","0.03","1","1","1","P16","C00191;C00309;C00310;C00181;C00333"
