Identification Level,External Identifier,Compound,sFEnD3_mean,sFED3_mean,Fold_Change,P_Value,FDR_P_Value
Tier 2,C01046,N-Methyl-L-glutamic acid,0.5683333333333334,0.021333333333333333,26.640625000000004,0.024567412606279305,0.1983493273608973
Tier 2,C00134,Isomer 1 of Putrescine,1.7513333333333332,0.09383333333333332,18.66429840142096,0.008576123333595595,0.17800440395033407
Tier 2,,"9,10-Epoxy-13-hydroxy-11-octadecenoic acid",0.6709999999999999,0.04833333333333333,13.882758620689653,0.003232312980164605,0.17800440395033407
Tier 2,C04785,13(S)-HPOT,0.6433333333333333,0.09699999999999999,6.632302405498282,0.02403355673234699,0.1983493273608973
Tier 1,C01595,Linoleic Acid,1.0042333333333333,0.15733333333333333,6.382838983050847,0.022510137470038362,0.19737149520830738
Tier 2,C02165,Leukotriene B4,2.6316666666666664,0.48566666666666664,5.418668496911462,0.0015401440805395078,0.1467438077101344
Tier 1,C00082,Tyrosine,1.484,0.30233333333333334,4.908489525909592,0.02599553067337768,0.1983493273608973
Tier 1,C01020,6-Hydroxynicotinic Acid,2.6616666666666666,0.5550333333333334,4.795507777310672,0.0048259945280028265,0.17800440395033407
Tier 2,,7'-Carboxy-gamma-tocotrienol,0.6623333333333333,0.1406666666666667,4.708530805687203,0.02671755955251774,0.1983493273608973
Tier 2,C01092,8-Amino-7-oxononanoic acid,1.7206666666666666,0.45413333333333333,3.7889019377568993,0.006128342056896512,0.17800440395033407
Tier 2,,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinic acid",1.351,0.37000000000000005,3.6513513513513507,0.03668289333474203,0.22377984797410116
Tier 1,,Gly-Norleucine,1.287,0.3533333333333333,3.6424528301886796,0.005133273001092397,0.17800440395033407
Tier 2,,2-(Acetamidomethylene)succinic acid,1.6803333333333335,0.4892,3.434859634777869,0.037486991904515196,0.22377984797410116
Tier 2,,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylic acid",0.5117666666666666,0.15566666666666665,3.287580299785867,0.0010565334668828823,0.1467438077101344
