"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Linoleic acid metabolism","4","3","3","0.20294","0.0049181","0.075971","0.0021513","1","0.01","0.2557412","1","0.1118676","P1","C01595;C04717;C14827"
"Butanoate metabolism","17","11","5","0.86248","0.026117","0.09816","0.0023332","2","0.02","1","1","0.1189932","P2","C00025;C00246;C00026;C00042;C06010"
"alpha-Linolenic acid metabolism","26","14","5","1.3191","0.073907","0.20002","0.003404","6","0.06","1","1","0.1702","P3","C06427;C01226;C04672;C16324;C21924"
"Glyoxylate and dicarboxylate metabolism","29","15","5","1.4713","0.0963","0.23934","0.0039482","8","0.08","1","1","0.1934618","P4","C00025;C00026;C00033;C00042;C00036"
"Sulfur metabolism","15","6","3","0.76101","0.066181","0.27009","0.0044385","3","0.03","1","1","0.213048","P5","C00979;C00033;C00042"
"N-Glycan biosynthesis","35","2","2","1.7757","0.029242","0.31089","0.0051929","0","0","1","1","0.2440663","P6","C00621;C03862"
"Alanine, aspartate and glutamate metabolism","22","17","5","1.1162","0.15005","0.32235","0.0054288","11","0.11","1","1","0.2497248","P7","C02362;C00026;C00025;C00036;C00042"
"Glycerophospholipid metabolism","38","7","3","1.9279","0.10172","0.33874","0.0057867","24","0.24","1","1","0.2604015","P8","C00189;C01210;C13482"
"Valine, leucine and isoleucine biosynthesis","22","20","5","1.1162","0.24861","0.44931","0.0089914","12","0.12","1","1","0.3956216","P9","C02226;C00188;C00141;C06010;C04181"
"Tyrosine metabolism","17","16","4","0.86248","0.28913","0.52901","0.01252","52","0.52","1","1","0.53836","P10","C01061;C01036;C00483;C04043"
"Glycolysis / Gluconeogenesis","26","11","3","1.3191","0.28915","0.58276","0.015782","4","0.04","1","1","0.662844","P11","C00085;C00668;C00103;C00036;C00033;C01172"
"Citrate cycle (TCA cycle)","20","11","3","1.0147","0.28915","0.58276","0.015782","10","0.1","1","1","0.662844","P12","C00026;C00042;C00036"
"Isoquinoline alkaloid biosynthesis","6","5","2","0.30441","0.20579","0.60718","0.01758","39","0.39","1","1","0.7032","P13","C00483;C04043"
"Ascorbate and aldarate metabolism","20","12","3","1.0147","0.34092","0.63276","0.019723","30","0.3","1","1","0.769197","P14","C15926;C00191;C01041"
"Pentose and glucuronate interconversions","17","6","2","0.86248","0.2756","0.6746","0.023934","1","0.01","1","1","0.909492","P15","C00191;C00103;C00333"
"C5-Branched dibasic acid metabolism","6","6","2","0.30441","0.2756","0.6746","0.023934","19","0.19","1","1","0.909492","P16","C02226;C06010"
"Carbon fixation in photosynthetic organisms","21","6","2","1.0654","0.2756","0.6746","0.023934","11","0.11","1","1","0.909492","P17","C00036;C00085"
"Arginine biosynthesis","18","13","3","0.91322","0.3925","0.67804","0.024326","27","0.27","1","1","0.909492","P18","C00025;C01250;C00026"
"Pantothenate and CoA biosynthesis","25","14","3","1.2684","0.44309","0.71876","0.029609","38","0.38","1","1","1","P19","C00831;C00141;C06010"
"Flavonoid biosynthesis","47","21","4","2.3845","0.5018","0.72329","0.030281","6","0.06","1","1","1","P20","C03648;C09727;C09736;C16405;C05907"
"Inositol phosphate metabolism","28","7","2","1.4206","0.34515","0.73057","0.0314","2","0.02","1","1","1","P21","C00092;C03546;C04006;C01177;C00191"
"Lysine biosynthesis","9","8","2","0.45661","0.41249","0.77702","0.039917","32","0.32","1","1","1","P22","C00263;C00441"
"Nicotinate and nicotinamide metabolism","13","8","2","0.65955","0.41249","0.77702","0.039917","16","0.16","1","1","1","P23","C05840;C00253"
"Biosynthesis of unsaturated fatty acids","22","8","2","1.1162","0.41249","0.77702","0.039917","6","0.06","1","1","1","P24","C01595;C06426;C06427"
"Glutathione metabolism","26","9","2","1.3191","0.47632","0.81556","0.049392","55","0.55","1","1","1","P25","C00025;C00134"
"Arginine and proline metabolism","32","17","3","1.6235","0.58321","0.81598","0.049511","91","0.91","1","1","1","P26","C00134;C05938;C00025"
"Glycine, serine and threonine metabolism","33","18","3","1.6742","0.62483","0.8411","0.057421","62","0.62","1","1","1","P27","C00188;C00263;C05519;C00441"
"Pyruvate metabolism","23","11","2","1.1669","0.59069","0.87398","0.07078","15","0.15","1","1","1","P28","C00036;C00033"
"Galactose metabolism","27","12","2","1.3698","0.64064","0.89591","0.082461","0","0","1","1","1","P29","C01097;C05401;C00103;C00446;C00668"
"Cysteine and methionine metabolism","47","21","3","2.3845","0.73239","0.8991","0.084413","68","0.68","1","1","1","P30","C00979;C00263;C00441"
"Valine, leucine and isoleucine degradation","37","15","2","1.8772","0.76223","0.94151","0.12015","35","0.35","1","1","1","P31","C00141;C02170"
"Amino sugar and nucleotide sugar metabolism","52","16","2","2.6382","0.79414","0.95179","0.13329","4","0.04","1","1","1","P32","C00191;C00446;C00103;C00275;C00636;C00668;C00085;C00333"
"Glucosinolate biosynthesis","65","17","2","3.2977","0.82227","0.96028","0.14659","38","0.38","1","1","1","P33","C04350;C00141"
"Cyanoamino acid metabolism","29","18","2","1.4713","0.84695","0.96729","0.15998","79","0.79","1","1","1","P34","C00561;C00302"
"Pentose phosphate pathway","19","5","1","0.96395","0.61253","1","1","4","0.04","1","1","1","P35","C00668;C00085;C01172"
"Fructose and mannose metabolism","18","8","1","0.91322","0.78189","1","1","8","0.08","1","1","1","P36","C00275;C00636;C00085;C01094"
"Fatty acid biosynthesis","56","7","1","2.8411","0.73571","1","1","32","0.32","1","1","1","P37","C06423"
"Purine metabolism","73","28","1","3.7036","0.99578","1","1","87","0.87","1","1","1","P38","C11821"
"Monobactam biosynthesis","8","5","1","0.40587","0.61253","1","1","29","0.29","1","1","1","P39","C00441"
"Lysine degradation","20","5","1","1.0147","0.61253","1","1","79","0.79","1","1","1","P40","C00450"
"Phenylalanine metabolism","12","6","1","0.60881","0.67992","1","1","58","0.58","1","1","1","P41","C05852"
"Taurine and hypotaurine metabolism","5","3","1","0.25367","0.43303","1","1","4","0.04","1","1","1","P42","C05844"
"Starch and sucrose metabolism","22","5","1","1.1162","0.61253","1","1","2","0.02","1","1","1","P43","C00103;C00092;C00085"
"Glycerolipid metabolism","21","4","1","1.0654","0.53118","1","1","7","0.07","1","1","1","P44","C00103"
"Arachidonic acid metabolism","9","3","1","0.45661","0.43303","1","1","14","0.14","1","1","1","P45","C02165"
"Propanoate metabolism","19","7","1","0.96395","0.73571","1","1","48","0.48","1","1","1","P46","C00042"
"Biotin metabolism","18","3","1","0.91322","0.43303","1","1","7","0.07","1","1","1","P47","C01092"
"Lipoic acid metabolism","24","3","1","1.2176","0.43303","1","1","8","0.08","1","1","1","P48","C00026"
"Folate biosynthesis","31","14","1","1.5728","0.93179","1","1","78","0.78","1","1","1","P49","C00266"
"Porphyrin metabolism","48","7","1","2.4352","0.73571","1","1","72","0.72","1","1","1","P50","C00025"
