"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","12","2.8785","0.00055909","0.0027524","0.006965","0","0","0.03410449","0.1678964","0.424865","P1","C03506;C01302;C04302;C00251;C00254;C00166;C00826;C00082;C00493;C00944;C01179;C02637"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","14","7","6.1495","0.091161","0.21384","0.012692","6","0.06","1","1","0.76152","P2","C02730;C05817;C00885;C00156;C00251;C01179;C00082;C00811;C03657"
"Glutathione metabolism","26","12","6","3.4019","0.11601","0.27125","0.015031","22","0.22","1","1","0.886829","P3","C00051;C00127;C00134;C00072;C16565;C05422"
"Purine metabolism","73","39","14","9.5514","0.25521","0.37184","0.020376","15","0.15","1","1","1","P4","C02091;C00499;C00064;C04751;C00212;C00360;C02350;C00366;C11821;C00147;C00559;C00387;C01762;C00330"
"Tyrosine metabolism","17","17","7","2.2243","0.22259","0.39764","0.022072","37","0.37","1","1","1","P5","C01061;C01036;C00082;C01179;C00483;C00122;C05350;C03765"
"Lysine biosynthesis","9","9","4","1.1776","0.26963","0.53429","0.034278","26","0.26","1","1","1","P6","C00666;C00441;C00680;C03972"
"Vitamin B6 metabolism","12","9","4","1.5701","0.26963","0.53429","0.034278","20","0.2","1","1","1","P7","C00064;C00627;C00250;C06056"
"Ascorbate and aldarate metabolism","20","16","6","2.6168","0.33944","0.54657","0.035721","47","0.47","1","1","1","P8","C00137;C00191;C00072;C05422;C01041;C02670;C01825;C03289"
"Isoquinoline alkaloid biosynthesis","6","6","3","0.78505","0.25526","0.57766","0.03971","21","0.21","1","1","1","P9","C00082;C01179;C00483"
"Tryptophan metabolism","29","20","7","3.7944","0.39168","0.58036","0.04008","55","0.55","1","1","1","P10","C00780;C05651;C00643;C00632;C02693;C02937;C05638"
"Caffeine metabolism","10","10","4","1.3084","0.35018","0.61496","0.04523","14","0.14","1","1","1","P11","C16361;C07480;C13747;C16359;C16355"
"Arginine biosynthesis","18","14","5","2.3551","0.41605","0.64271","0.049961","43","0.43","1","1","1","P12","C01250;C00624;C03406;C00122;C00064"
"Carbon fixation in photosynthetic organisms","21","7","3","2.7477","0.35293","0.66895","0.055014","16","0.16","1","1","1","P13","C00149;C05382;C00041"
"Flavone and flavonol biosynthesis","10","7","3","1.3084","0.35293","0.66895","0.055014","5","0.05","1","1","1","P14","C05903;C01514;C21854"
"Alanine, aspartate and glutamate metabolism","22","19","6","2.8785","0.52793","0.71681","0.066037","51","0.51","1","1","1","P15","C03406;C00041;C00064;C03912;C00122;C00352"
"Phenylalanine metabolism","12","8","3","1.5701","0.44881","0.74364","0.073505","29","0.29","1","1","1","P16","C00166;C02763;C07086"
"beta-Alanine metabolism","18","12","4","2.3551","0.50867","0.74627","0.074296","60","0.6","1","1","1","P17","C00099;C00986;C05665;C00555"
"Folate biosynthesis","31","16","5","4.0561","0.552","0.75353","0.076542","68","0.68","1","1","1","P18","C00251;C21065;C01304;C04244;C02953"
"Valine, leucine and isoleucine biosynthesis","22","21","6","2.8785","0.6408","0.80207","0.094281","67","0.67","1","1","1","P19","C00671;C02504;C04411;C04272;C06006;C00233;C14463;C04236"
"Arachidonic acid metabolism","9","5","2","1.1776","0.47241","0.83138","0.10798","15","0.15","1","1","1","P20","C02166;C02165"
"Pantothenate and CoA biosynthesis","25","18","5","3.271","0.67074","0.83599","0.1104","57","0.57","1","1","1","P21","C00099;C04272;C03492;C05665;C00966"
"Monobactam biosynthesis","8","6","2","1.0467","0.58099","0.88212","0.14021","51","0.51","1","1","1","P22","C00441;C03972"
"D-Amino acid metabolism","7","6","2","0.91589","0.58099","0.88212","0.14021","33","0.33","1","1","1","P23","C00666;C00680"
"Citrate cycle (TCA cycle)","20","11","3","2.6168","0.68964","0.88722","0.14431","44","0.44","1","1","1","P24","C00149;C00417;C00122"
"Pyruvate metabolism","23","12","3","3.0093","0.74996","0.91541","0.17135","37","0.37","1","1","1","P25","C00149;C02504;C00122"
"Lysine degradation","20","7","2","2.6168","0.67221","0.91765","0.17389","81","0.81","1","1","1","P26","C00956;C00450"
"Inositol phosphate metabolism","28","7","2","3.6636","0.67221","0.91765","0.17389","56","0.56","1","1","1","P27","C00137;C00191"
"Amino sugar and nucleotide sugar metabolism","52","22","5","6.8037","0.84026","0.93345","0.19418","11","0.11","1","1","1","P28","C00191;C00352;C00267;C00159;C00095;C01132;C00333;C00140"
"Diterpenoid biosynthesis","29","18","4","3.7944","0.83944","0.94111","0.20585","28","0.28","1","1","1","P29","C00859;C06096;C11868;C11857;C11854;C11876"
"Pentose phosphate pathway","19","8","2","2.486","0.74668","0.94251","0.20813","26","0.26","1","1","1","P30","C01801;C05382"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","8","2","1.1776","0.74668","0.94251","0.20813","53","0.53","1","1","1","P31","C12455;C00166"
"Arginine and proline metabolism","32","27","6","4.1869","0.86981","0.94291","0.2088","85","0.85","1","1","1","P32","C05933;C03078;C00555;C00134;C00148;C03912"
"Phenylpropanoid biosynthesis","43","27","6","5.6262","0.86981","0.94291","0.2088","63","0.63","1","1","1","P33","C01494;C12204;C05619;C01197;C00811;C10945;C02325;C00761"
"Flavonoid biosynthesis","47","40","9","6.1495","0.89673","0.94811","0.2179","7","0.07","1","1","1","P34","C09826;C05903;C05908;C05905;C05904;C05906;C03648;C09751;C00509;C09614;C06561;C08578;C12136;C09727;C09736;C10107;C16405;C01514;C05907"
"Starch and sucrose metabolism","22","9","2","2.8785","0.80619","0.95989","0.2423","44","0.44","1","1","1","P35","C00185;C00095;C00089;C00031;C01083;C00208"
"Cyanoamino acid metabolism","29","25","5","3.7944","0.91403","0.96818","0.26399","89","0.89","1","1","1","P36","C01594;C08334;C08325;C19712;C01401"
"Pentose and glucuronate interconversions","17","10","2","2.2243","0.85297","0.97203","0.27593","51","0.51","1","1","1","P37","C00191;C00333"
"Glycerophospholipid metabolism","38","10","2","4.972","0.85297","0.97203","0.27593","98","0.98","1","1","1","P38","C01233;C01210"
"Glyoxylate and dicarboxylate metabolism","29","16","3","3.7944","0.90368","0.97453","0.28452","80","0.8","1","1","1","P39","C00417;C00149;C00064"
"Histidine metabolism","16","11","2","2.0935","0.88926","0.98052","0.30874","52","0.52","1","1","1","P40","C04666;C01262"
"Pyrimidine metabolism","41","23","4","5.3645","0.94933","0.98513","0.3326","73","0.73","1","1","1","P41","C00105;C00064;C00239;C21029;C01368;C00099;C01168"
"Cysteine and methionine metabolism","47","29","5","6.1495","0.96533","0.98885","0.35728","89","0.89","1","1","1","P42","C01234;C15606;C01118;C01077;C00441"
"Glucosinolate biosynthesis","65","34","6","8.5047","0.97006","0.98948","0.36213","79","0.79","1","1","1","P43","C17211;C02937;C17240;C04350;C02153;C00233;C00671"
"Biosynthesis of various plant secondary metabolites","29","19","3","3.7944","0.95617","0.99005","0.36685","76","0.76","1","1","1","P44","C02637;C05839;C05838"
"Glycine, serine and threonine metabolism","33","21","3","4.3178","0.97473","0.99477","0.41836","95","0.95","1","1","1","P45","C00213;C01888;C00441"
"Galactose metabolism","27","18","2","3.5327","0.9868","0.99848","0.50659","66","0.66","1","1","1","P46","C00089;C05402;C05400;C01235;C00267;C00243;C00124;C00095;C00031;C00159;C00137;C00984"
"Glycolysis / Gluconeogenesis","26","11","1","3.4019","0.98098","1","1","89","0.89","1","1","1","P47","C00221;C00267"
"Fructose and mannose metabolism","18","9","1","2.3551","0.96068","1","1","81","0.81","1","1","1","P48","C00267;C00159;C00095"
"Fatty acid biosynthesis","56","8","1","7.3271","0.94351","1","1","74","0.74","1","1","1","P49","C06423"
"Valine, leucine and isoleucine degradation","37","15","1","4.8411","0.99559","1","1","97","0.97","1","1","1","P50","C00671;C00233"
"Phosphonate and phosphinate metabolism","5","2","1","0.65421","0.51054","1","1","70","0.7","1","1","1","P51","C03557"
"Selenocompound metabolism","13","2","1","1.7009","0.51054","1","1","47","0.47","1","1","1","P52","C00041"
"alpha-Linolenic acid metabolism","26","15","1","3.4019","0.99559","1","1","97","0.97","1","1","1","P53","C04785;C16321;C21923;C16341"
"Propanoate metabolism","19","9","1","2.486","0.96068","1","1","79","0.79","1","1","1","P54","C05983"
"Thiamine metabolism","22","9","1","2.8785","0.96068","1","1","87","0.87","1","1","1","P55","C20267"
"Riboflavin metabolism","13","6","1","1.7009","0.88367","1","1","63","0.63","1","1","1","P56","C04454;C01304"
"Nicotinate and nicotinamide metabolism","13","9","1","1.7009","0.96068","1","1","98","0.98","1","1","1","P57","C00455"
