"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tyrosine metabolism","17","16","11","1.1121","6.467e-05","0.00043118","0.0033845","2","0.02","0.00336284","0.02242136","0.175994","P1","C05576;C02514;C01061;C01036;C00544;C00082;C01179;C00483;C05577;C05350;C04043"
"Flavonoid biosynthesis","47","21","11","3.0748","0.0018677","0.0068969","0.003456","0","0","0.0952527","0.3517419","0.176256","P2","C10434;C05906;C03648;C00974;C05631;C01378;C12136;C09727;C09736;C15525;C16405;C05907"
"Isoquinoline alkaloid biosynthesis","6","5","4","0.39252","0.0096188","0.073265","0.0042906","9","0.09","0.48094","1","0.21453","P3","C00082;C01179;C00483;C04043"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","9","5","3.0748","0.028955","0.11208","0.0048759","10","0.1","1","1","0.2389191","P4","C00885;C00251;C01179;C00082;C00544"
"Glycine, serine and threonine metabolism","33","18","6","2.1589","0.18892","0.35989","0.011371","41","0.41","1","1","0.545808","P5","C00258;C00049;C01888;C00719;C00168;C00441"
"Tryptophan metabolism","29","14","5","1.8972","0.1788","0.37118","0.011837","14","0.14","1","1","0.556339","P6","C00643;C00632;C05634;C00331;C00954"
"alpha-Linolenic acid metabolism","26","14","5","1.7009","0.1788","0.37118","0.011837","12","0.12","1","1","0.556339","P7","C01226;C04672;C04780;C16324;C21924"
"beta-Alanine metabolism","18","11","4","1.1776","0.21132","0.44937","0.01571","8","0.08","1","1","0.70695","P8","C00049;C05665;C00864;C00555"
"Linoleic acid metabolism","4","3","2","0.26168","0.12554","0.52628","0.020964","7","0.07","1","1","0.922416","P9","C04717;C14827"
"Arginine and proline metabolism","32","17","5","2.0935","0.31904","0.53555","0.021724","86","0.86","1","1","0.934132","P10","C00555;C05936;C05947;C00334;C02946"
"Pantothenate and CoA biosynthesis","25","14","4","1.6355","0.37937","0.62719","0.031245","37","0.37","1","1","1","P11","C00864;C00141;C00183;C05665"
"Valine, leucine and isoleucine degradation","37","15","4","2.4206","0.43625","0.67711","0.03851","12","0.12","1","1","1","P12","C00183;C00141;C02170;C01205"
"Monobactam biosynthesis","8","5","2","0.52336","0.30849","0.71305","0.045054","9","0.09","1","1","1","P13","C00049;C00441"
"Lysine degradation","20","5","2","1.3084","0.30849","0.71305","0.045054","76","0.76","1","1","1","P14","C04076;C00408"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","4","1.4393","0.49165","0.72199","0.046893","37","0.37","1","1","1","P15","C00251;C00254;C00082;C01179"
"Phenylpropanoid biosynthesis","43","16","4","2.8131","0.49165","0.72199","0.046893","29","0.29","1","1","1","P16","C01197;C02325;C02646;C10434"
"Butanoate metabolism","17","11","3","1.1121","0.45689","0.7367","0.050132","51","0.51","1","1","1","P17","C00246;C00334;C00042"
"Alanine, aspartate and glutamate metabolism","22","17","4","1.4393","0.54477","0.76194","0.056396","59","0.59","1","1","1","P18","C00049;C00334;C00042;C00352"
"Cyanoamino acid metabolism","29","18","4","1.8972","0.59496","0.79718","0.066991","44","0.44","1","1","1","P19","C05714;C05670;C19712;C00049"
"Arginine biosynthesis","18","13","3","1.1776","0.58024","0.81949","0.075141","46","0.46","1","1","1","P20","C04133;C00624;C00049"
"Fatty acid biosynthesis","56","7","2","3.6636","0.48446","0.82664","0.078048","19","0.19","1","1","1","P21","C00383;C06423"
"Glycerophospholipid metabolism","38","7","2","2.486","0.48446","0.82664","0.078048","80","0.8","1","1","1","P22","C01233;C13482"
"Biosynthesis of various plant secondary metabolites","29","7","2","1.8972","0.48446","0.82664","0.078048","19","0.19","1","1","1","P23","C15486;C18325"
"Lysine biosynthesis","9","8","2","0.58879","0.56173","0.86539","0.09704","69","0.69","1","1","1","P24","C00049;C00441"
"Nicotinate and nicotinamide metabolism","13","8","2","0.85047","0.56173","0.86539","0.09704","29","0.29","1","1","1","P25","C00049;C03150"
"Glyoxylate and dicarboxylate metabolism","29","15","3","1.8972","0.68471","0.87838","0.10499","75","0.75","1","1","1","P26","C00168;C00258;C00042"
"Ascorbate and aldarate metabolism","20","12","2","1.3084","0.7869","0.95139","0.18156","83","0.83","1","1","1","P27","C01041;C00818"
"Cysteine and methionine metabolism","47","21","3","3.0748","0.88276","0.9656","0.21112","86","0.86","1","1","1","P28","C00049;C02356;C00441"
"Purine metabolism","73","28","4","4.7757","0.90526","0.96709","0.21489","31","0.31","1","1","1","P29","C00212;C11821;C00387;C00330"
"Folate biosynthesis","31","14","2","2.028","0.85605","0.97091","0.22536","78","0.78","1","1","1","P30","C00251;C04244;C02953"
"Glucosinolate biosynthesis","65","16","2","4.2523","0.90429","0.98263","0.26846","49","0.49","1","1","1","P31","C00183;C00141"
"Valine, leucine and isoleucine biosynthesis","22","20","2","1.4393","0.95927","0.99387","0.35028","91","0.91","1","1","1","P32","C00141;C00183"
